::1 - - [18/Apr/2020:01:19:37 -0300] "GET /root/cliente/visao/index.html HTTP/1.1" 404 227
::1 - - [18/Apr/2020:01:20:02 -0300] "GET /cliente/visao/index.html HTTP/1.1" 200 636
::1 - - [18/Apr/2020:01:20:02 -0300] "GET /cliente/visao/.../css/materialize.css HTTP/1.1" 403 239
::1 - - [18/Apr/2020:01:20:02 -0300] "GET /cliente/visao/.../js/jquery-3.4.1.js HTTP/1.1" 403 238
::1 - - [18/Apr/2020:01:20:02 -0300] "GET /cliente/visao/.../root/js/materialize.js HTTP/1.1" 403 242
::1 - - [18/Apr/2020:01:20:02 -0300] "GET /cliente/visao/.../root/js/materialize.js HTTP/1.1" 403 242
::1 - - [18/Apr/2020:01:20:33 -0300] "GET /cliente/visao/index.html HTTP/1.1" 200 640
::1 - - [18/Apr/2020:01:20:33 -0300] "GET /cliente/visao/.../js/jquery-3.4.1.js HTTP/1.1" 403 238
::1 - - [18/Apr/2020:01:20:33 -0300] "GET /cliente/visao/...root/css/materialize.css HTTP/1.1" 404 239
::1 - - [18/Apr/2020:01:20:33 -0300] "GET /cliente/visao/.../root/js/materialize.js HTTP/1.1" 403 242
::1 - - [18/Apr/2020:01:20:33 -0300] "GET /cliente/visao/.../root/js/materialize.js HTTP/1.1" 403 242
::1 - - [18/Apr/2020:01:20:33 -0300] "GET /cliente/visao/index.html HTTP/1.1" 304 -
::1 - - [18/Apr/2020:01:20:33 -0300] "GET /cliente/visao/...root/css/materialize.css HTTP/1.1" 404 239
::1 - - [18/Apr/2020:01:20:33 -0300] "GET /cliente/visao/.../js/jquery-3.4.1.js HTTP/1.1" 403 238
::1 - - [18/Apr/2020:01:20:33 -0300] "GET /cliente/visao/.../root/js/materialize.js HTTP/1.1" 403 242
::1 - - [18/Apr/2020:01:20:33 -0300] "GET /cliente/visao/index.html HTTP/1.1" 304 -
::1 - - [18/Apr/2020:01:20:33 -0300] "GET /cliente/visao/.../js/jquery-3.4.1.js HTTP/1.1" 403 238
::1 - - [18/Apr/2020:01:20:33 -0300] "GET /cliente/visao/.../root/js/materialize.js HTTP/1.1" 403 242
::1 - - [18/Apr/2020:01:20:33 -0300] "GET /cliente/visao/...root/css/materialize.css HTTP/1.1" 404 239
::1 - - [18/Apr/2020:01:20:33 -0300] "GET /cliente/visao/.../root/js/materialize.js HTTP/1.1" 403 242
::1 - - [18/Apr/2020:01:20:34 -0300] "GET /cliente/visao/index.html HTTP/1.1" 304 -
::1 - - [18/Apr/2020:01:20:34 -0300] "GET /cliente/visao/.../js/jquery-3.4.1.js HTTP/1.1" 403 238
::1 - - [18/Apr/2020:01:20:34 -0300] "GET /cliente/visao/...root/css/materialize.css HTTP/1.1" 404 239
::1 - - [18/Apr/2020:01:20:34 -0300] "GET /cliente/visao/.../root/js/materialize.js HTTP/1.1" 403 242
::1 - - [18/Apr/2020:01:20:34 -0300] "GET /cliente/visao/.../root/js/materialize.js HTTP/1.1" 403 242
::1 - - [18/Apr/2020:01:20:34 -0300] "GET /cliente/visao/index.html HTTP/1.1" 304 -
::1 - - [18/Apr/2020:01:20:34 -0300] "GET /cliente/visao/.../js/jquery-3.4.1.js HTTP/1.1" 403 238
::1 - - [18/Apr/2020:01:20:34 -0300] "GET /cliente/visao/.../root/js/materialize.js HTTP/1.1" 403 242
::1 - - [18/Apr/2020:01:20:34 -0300] "GET /cliente/visao/...root/css/materialize.css HTTP/1.1" 404 239
::1 - - [18/Apr/2020:01:20:34 -0300] "GET /cliente/visao/.../root/js/materialize.js HTTP/1.1" 403 242
::1 - - [18/Apr/2020:01:20:34 -0300] "GET /cliente/visao/index.html HTTP/1.1" 304 -
::1 - - [18/Apr/2020:01:20:34 -0300] "GET /cliente/visao/.../js/jquery-3.4.1.js HTTP/1.1" 403 238
::1 - - [18/Apr/2020:01:20:34 -0300] "GET /cliente/visao/.../root/js/materialize.js HTTP/1.1" 403 242
::1 - - [18/Apr/2020:01:20:34 -0300] "GET /cliente/visao/...root/css/materialize.css HTTP/1.1" 404 239
::1 - - [18/Apr/2020:01:20:34 -0300] "GET /cliente/visao/.../root/js/materialize.js HTTP/1.1" 403 242
::1 - - [18/Apr/2020:01:20:34 -0300] "GET /cliente/visao/index.html HTTP/1.1" 304 -
::1 - - [18/Apr/2020:01:20:34 -0300] "GET /cliente/visao/.../js/jquery-3.4.1.js HTTP/1.1" 403 238
::1 - - [18/Apr/2020:01:20:34 -0300] "GET /cliente/visao/.../root/js/materialize.js HTTP/1.1" 403 242
::1 - - [18/Apr/2020:01:20:34 -0300] "GET /cliente/visao/...root/css/materialize.css HTTP/1.1" 404 239
::1 - - [18/Apr/2020:01:20:34 -0300] "GET /cliente/visao/.../root/js/materialize.js HTTP/1.1" 403 242
::1 - - [18/Apr/2020:01:21:02 -0300] "GET /cliente/visao/index.html HTTP/1.1" 200 1139
::1 - - [18/Apr/2020:01:21:02 -0300] "GET /cliente/visao/images/yuna.jpg HTTP/1.1" 404 227
::1 - - [18/Apr/2020:01:21:02 -0300] "GET /cliente/visao/...root/css/materialize.css HTTP/1.1" 404 239
::1 - - [18/Apr/2020:01:21:02 -0300] "GET /cliente/visao/.../js/jquery-3.4.1.js HTTP/1.1" 403 238
::1 - - [18/Apr/2020:01:21:02 -0300] "GET /cliente/visao/.../root/js/materialize.js HTTP/1.1" 403 242
